run_id,retrieval_job_id,generation_job_id,method,retrieval_backend,retrieval_params,retrieval_run_path,qdrant_collection,reranker_enabled,generation_top_k,generation_retrieve_top_k,generation_run_name,judge_mode,generator_model,judge_model,hit@1,hit@3,hit@5,mrr@10,ndcg@10,gold_retention@10,graph_expansion_size,graph_expansion_latency_ms,retrieval_latency_p50_ms,retrieval_latency_p95_ms,answer_pass_rate,avg_faithfulness,avg_relevance,avg_completeness,avg_safety,citation_support_rate,unsupported_citation_rate,generation_latency_p50_ms,e2e_latency_p50_ms,e2e_latency_p95_ms,best_by_hit1,best_by_judge_pass_rate,best_overall,best_overall_score,llm_judge_n50_num_examples,llm_judge_n50_pass_rate,llm_judge_n50_fail_rate,llm_judge_n50_avg_faithfulness,llm_judge_n50_avg_relevance,llm_judge_n50_avg_completeness,llm_judge_n50_avg_safety
e2e_practical_20260512,148dffed050f,bc51ed30c8af,hybrid_medcpt_trained,hybrid_medcpt,"{""alpha"": ""0.6"", ""cand_k"": ""50"", ""rrf_k"": ""60""}",artifacts/experiments/e2e_practical_20260512/runs/hybrid_medcpt_trained/96f08c7f1676.trec,medical_rag_docs,true,5,20,hybrid_medcpt_trained_61d332ff06a8_top5_ret20_reranktrue_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.49666666666666665,0.7,0.7566666666666667,0.6080343915343918,0.6596533043196391,,,,95.13570845592767,117.78954811161384,,,,,,0.65,0.15,5313.3903335547075,8284.953771042638,12519.940117339138,True,False,True,0.49666666666666665,50.0,0.64,0.36,3.86,4.8,3.7,4.94
e2e_practical_20260512,b2d5043a16de,cb2f25fce691,dense_qdrant,dense,{},artifacts/experiments/e2e_practical_20260512/runs/dense_qdrant/2d1a1e26c365.trec,medical_rag_docs,true,5,20,dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.4033333333333333,0.5733333333333334,0.6466666666666666,0.507769841269841,0.5552971146585973,,,,227.3745829006657,302.44406674755743,,,,,,0.6416666666666667,0.19833333333333333,5983.598020626232,8498.879374354146,12812.881040002687,False,False,False,0.4033333333333333,50.0,0.64,0.36,3.86,4.54,3.74,4.96
e2e_practical_20260512,13123b5f762c,3dd870222257,graph_qdrant,graph_bm25,"{""base_weight"": ""0.7"", ""expand_k"": ""50"", ""graph_weight"": ""0.3"", ""hop_decay"": ""0.65"", ""max_hops"": ""2"", ""seed_k"": ""20""}",artifacts/experiments/e2e_practical_20260512/runs/graph_qdrant/45961da1567c.trec,medical_rag_docs,true,5,20,graph_qdrant_eb939b866742_top5_ret20_reranktrue_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.4033333333333333,0.5766666666666667,0.6466666666666666,0.5080476190476189,0.5555281927983526,,,,223.48493756726384,304.74484130973,,,,,,0.64,0.19666666666666666,5181.68400041759,7547.964291414246,12883.840047044221,False,False,False,0.4033333333333333,50.0,0.66,0.34,3.92,4.74,3.82,4.96
e2e_practical_20260512,6d452a62bad7,b4bcdde80fc1,hybrid_medcpt_trained,hybrid_medcpt,"{""alpha"": ""0.4"", ""cand_k"": ""50"", ""rrf_k"": ""60""}",artifacts/experiments/e2e_practical_20260512/runs/hybrid_medcpt_trained/809b8bbfbc3a.trec,medical_rag_docs,true,5,20,hybrid_medcpt_trained_6a0f43c9408c_top5_ret20_reranktrue_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.49666666666666665,0.7,0.7566666666666667,0.6080343915343918,0.6596533043196391,,,,94.13295798003674,122.19671008642763,,,,,,0.6533333333333333,0.14666666666666667,5924.7836250578985,8563.392062671483,12464.669070125092,True,False,True,0.49666666666666665,50.0,0.64,0.36,3.88,4.8,3.7,4.94
e2e_practical_20260512,c1a3082c32a3,8ec90b835425,hybrid_qdrant,hybrid,"{""alpha"": ""0.6"", ""cand_k"": ""50"", ""rrf_k"": ""60""}",artifacts/experiments/e2e_practical_20260512/runs/hybrid_qdrant/2726743051a6.trec,medical_rag_docs,false,5,20,hybrid_qdrant_6c41cc2303a0_top5_ret20_rerankfalse_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.3566666666666667,0.58,0.6733333333333333,0.49037830687830647,0.5600500053583344,,,,263.0907919956371,359.8152041900903,,,,,,0.7783333333333333,0.04833333333333333,5874.435874982737,6156.196354422718,10497.43930407567,False,False,False,0.3566666666666667,50.0,0.72,0.28,4.18,4.96,4.1,4.96
e2e_practical_20260512,97e340820614,ae814d47f3c9,hybrid_qdrant,hybrid,"{""alpha"": ""0.4"", ""cand_k"": ""50"", ""rrf_k"": ""60""}",artifacts/experiments/e2e_practical_20260512/runs/hybrid_qdrant/f73b18a33070.trec,medical_rag_docs,false,5,20,hybrid_qdrant_cdeefb6d16f8_top5_ret20_rerankfalse_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.3566666666666667,0.58,0.6733333333333333,0.49037830687830647,0.5600500053583344,,,,259.1844169655815,338.20214139996096,,,,,,0.785,0.04833333333333333,6185.193604556844,6494.692083564587,10355.538138363045,False,False,False,0.3566666666666667,50.0,0.7,0.3,4.14,4.96,4.06,4.96
e2e_practical_20260512,18f196ece5bd,e617559bcb83,graph_hybrid_qdrant,graph_hybrid,"{""base_weight"": ""0.7"", ""expand_k"": ""50"", ""graph_weight"": ""0.3"", ""hop_decay"": ""0.65"", ""max_hops"": ""2"", ""seed_k"": ""20""}",artifacts/experiments/e2e_practical_20260512/runs/graph_hybrid_qdrant/71f1e6c42a01.trec,medical_rag_docs,true,5,20,graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.36,0.5666666666666667,0.67,0.4905873015873014,0.5586533916687378,,,,262.03447906300426,339.1618311172351,,,,,,0.7188888888888889,0.10444444444444445,5641.9772079680115,8786.898791557178,13268.528951145714,False,False,False,0.36,50.0,0.66,0.34,3.94,4.88,3.88,4.96
e2e_practical_20260512,5d0eee43553d,efb4ea901499,rag_fusion_qdrant,rag_fusion_dense,"{""include_original"": ""True"", ""num_queries"": ""5"", ""rrf_k"": ""60""}",artifacts/experiments/e2e_practical_20260512/runs/rag_fusion_qdrant/eaf49e56dfc6.trec,medical_rag_docs,false,5,20,rag_fusion_qdrant_555d1daa83b4_top5_ret20_rerankfalse_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.2866666666666667,0.49666666666666665,0.57,0.4147460317460317,0.47977593896005594,,,,945.4696665052325,1323.1681460049003,,,,,,0.6961111111111111,0.15388888888888888,5779.042708571069,7040.237395442091,10667.548436881043,False,False,False,0.2866666666666667,50.0,0.86,0.14,4.64,4.9,4.28,4.96
e2e_practical_20260512,9e565e4f42d6,14f1f8317e7f,graph_bm25,graph_bm25,"{""base_weight"": ""0.7"", ""expand_k"": ""50"", ""graph_weight"": ""0.3"", ""hop_decay"": ""0.65"", ""max_hops"": ""2"", ""seed_k"": ""20""}",artifacts/experiments/e2e_practical_20260512/runs/graph_bm25/5ddced375878.trec,medical_rag_docs,false,5,20,graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.25333333333333335,0.47333333333333333,0.6066666666666667,0.39533465608465607,0.47167490675003054,,,,36.15820803679526,54.39042140496895,,,,,,0.8133333333333334,0.04,5580.120166647248,5619.494645507075,9268.557877244899,False,False,False,0.25333333333333335,50.0,0.72,0.28,4.28,4.72,3.92,5.0
e2e_practical_20260512,17899e7ef52c,98ba9e1cf238,medcpt_trained,medcpt,{},artifacts/experiments/e2e_practical_20260512/runs/medcpt_trained/3cdcef42a112.trec,medical_rag_docs,false,5,20,medcpt_trained_98e67905a9d4_top5_ret20_rerankfalse_heuristic,heuristic,qwen/qwen3-4b-instruct-2507,mistralai/mistral-small-3.2-24b-instruct-2506,0.43,0.6433333333333333,0.7266666666666667,0.552244708994709,0.6158960234819806,,,,58.8467710185796,89.67140900203967,,,,,,0.7333333333333333,0.09333333333333334,6033.948978991248,6168.678853893653,9544.30331666954,False,False,False,0.43,50.0,0.62,0.38,3.76,4.76,3.68,4.96
