run_name,source_raw_jsonl,output_jsonl,num_examples,pass_rate,fail_rate,avg_faithfulness,avg_relevance,avg_completeness,avg_safety
bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/bm25_779137bf3e9c_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.6,5.0,4.4,5.0
bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/bm25_779137bf3e9c_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.4,4.2,3.2,5.0
dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/dense_qdrant_8026f7536bfe_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.0,5.0,3.8,5.0
dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/dense_qdrant_8026f7536bfe_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_bm25_8958ada059b3_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.6,5.0,4.4,5.0
graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_bm25_8958ada059b3_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.4,4.2,3.4,5.0
graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,4.2,5.0,4.0,5.0
graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_medcpt_trained_da2564769ef9_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.6,0.4,3.8,4.6,3.4,5.0
graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_qdrant_29dba24853cd_top5_ret20_rerankfalse_heuristic.llm_judge_n5.jsonl,5.0,0.4,0.6,3.8,5.0,3.6,5.0
graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic,artifacts/experiments/e2e_practical_20260512/generation/graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic.raw.jsonl,artifacts/experiments/e2e_practical_20260512/llm_judge_sample/graph_hybrid_qdrant_29dba24853cd_top5_ret20_reranktrue_heuristic.llm_judge_n5.jsonl,5.0,0.8,0.2,4.4,5.0,4.0,5.0
